time	f_x	f_y	f_z	m_x	m_y	m_z	x	y	z	x0	y0	z0	u_x	u_y	u_z	theta	u0_x	u0_y	u0_z	theta0	dx	dy	dz	lambda_11	lambda_12	lambda_13	lambda_21	lambda_22	lambda_23	lambda_31	lambda_32	lambda_33	omega_x	omega_y	omega_z	lambda_w_11	lambda_w_12	lambda_w_13	lambda_w_21	lambda_w_22	lambda_w_23	lambda_w_31	lambda_w_32	lambda_w_33
7.7749999999998565	2.9130420180340195	3.519778743081875	19.04214186922107	4.023263489650801	-0.5187200330767849	-0.42780323824589805	0.6470775658016754	-0.006675855488105531	-0.11904057480486027	0.6661458094455747	-0.008286927483157989	-0.25560336211208884	-0.1624157468084465	0.9866032765896078	0.01533296485695582	3.2614366369747696	-0.4101079066350171	-1.9420280536741918	-0.2452361279420664	0.014063728957419476	0.04003875737462992	0.0028674435990594864	-0.002016280948759048	1.2743371080455603	-0.28488168025852956	-1.9292486958436015	-0.28488168025852983	3.2987595789805435	1.2022811364313286	-1.9292486958436004	1.2022811364313273	8.544432648842182	-0.00029158229889976494	0.125872310295789	-0.019265700359979605	0.06386723775705551	0.005273210892761489	0.02556126651047215	0.005273210892761492	0.008913282381814032	0.0029293453156958135	0.02556126651047215	0.0029293453156958127	0.028358680208855243
7.779999999999856	2.8614270402591018	3.458796022163868	19.083596855527748	3.8891203364160947	-0.4428962158193697	-0.429227942376359	0.6470649375659948	-0.0066608616897607135	-0.11904968948805023	0.6661502086137422	-0.008260191358614236	-0.2556302318824594	-0.16236573256866196	0.9866106397025425	0.01538877880735264	3.262078042325853	-0.37888245493092176	-1.9483178668317067	-0.24556532858459612	0.014256506139502858	0.0389701274361641	0.0026463228686640374	-0.0043852536784452344	1.2764410358365117	-0.28518668962502614	-1.933855211375089	-0.2851866896250263	3.2978727861166863	1.2018779969716125	-1.9338552113750889	1.201877996971612	8.546485135879507	-0.00012452049182669984	0.1303092527381316	-0.01952343786485182	0.06375087133410383	0.005254415812766747	0.02550788198028696	0.005254415812766748	0.008911120749987109	0.0029190565151664865	0.025507881980286952	0.002919056515166485	0.02834372549152561
7.784999999999856	2.8200049739034414	3.4740156094840944	19.773390406481276	3.8745432505456763	-0.15999680968830424	-0.44434294130717655	0.6470647540678003	-0.006646715645273461	-0.11905491418774919	0.6661531413925205	-0.008242367275585062	-0.2556481450627065	-0.1623103147260449	0.9866189005374986	0.015443666524177505	3.262680349900053	-0.35670060912422935	-1.9530365821334736	-0.24125371918091332	0.014471728783769617	0.038978666814963946	0.0021843931487824466	-0.0034678934797431763	1.2784397099045888	-0.2854378706892509	-1.9381748238908652	-0.28543787068925097	3.2969020416665624	1.2015429393164407	-1.9381748238908647	1.2015429393164407	8.548195846679702	0.0006455304181393414	0.12254601099735184	-0.02180324635888636	0.06363703342259779	0.0052354013297648706	0.02545691321646372	0.0052354013297648706	0.008908886981113973	0.0029088149004067284	0.025456913216463713	0.0029088149004067275	0.02833037734004583
7.789999999999856	2.9525402747034852	3.55688300524904	19.601294045531542	3.9899265026123607	-0.4051858881368722	-0.4365754204913762	0.6470856863663571	-0.006639664668994539	-0.11904770595045727	0.6661550965783727	-0.008230484553565596	-0.25566008718287114	-0.1622465803265317	0.9866286303129473	0.015491708077030503	3.2632341306074393	-0.3402695441718712	-1.9568900450172042	-0.23362845014560613	0.014688096580116793	0.04000571996267875	0.0011196538386925078	-0.000790898650663987	1.2803157912915715	-0.28563608302077836	-1.9421203295992826	-0.285636083020778	3.2957645826199653	1.2013101877021486	-1.9421203295992828	1.2013101877021501	8.549346209068327	-0.0006808306313527263	0.11254336959261849	-0.025152357800566447	0.06352372096243439	0.005216065654162762	0.025408406551509024	0.005216065654162764	0.00890659552559198	0.00289875061725967	0.025408406551509027	0.00289875061725967	0.028319319073294703
7.794999999999856	3.0000243245847606	3.9856734168465593	19.180290914468824	4.684822125663357	-0.510895445854039	-0.5379022777584008	0.6471209832480542	-0.006636637587278161	-0.11903331637302161	0.6660582084791311	-0.008132918062722875	-0.25575379413529814	-0.16217396995475203	0.9866398473462973	0.015537538337534703	3.263742264970594	-0.33597887446937663	-1.9602503149159223	-0.2104994604706804	0.015062543427062751	0.03996036954764903	0.00011627330540865696	0.0008177055713165947	1.2820624602833774	-0.2857645142377855	-1.9457152601712278	-0.2857645142377853	3.29454076790819	1.2011687346782096	-1.9457152601712282	1.20116873467821	8.550073788261573	-0.0002924580313174376	0.10341182496063107	-0.02882394842577514	0.06341336996091816	0.005196212452729852	0.025362671466415087	0.005196212452729854	0.008904173227628173	0.0028886360368884575	0.025362671466415094	0.0028886360368884584	0.028310076373100686
7.799999999999856	3.2440587130746565	3.3687641349698825	19.4634595239035	3.6392780062570127	-0.7997679208245569	-0.3663189996655277	0.6471321681688196	-0.006634210304448527	-0.11902360841407333	0.66599361641297	-0.008067873735494394	-0.25581626543691605	-0.1621000573318718	0.9866511935921727	0.015588251863017277	3.264323847937962	-0.33053640279984536	-1.9631766780162938	-0.19090544584754532	0.015431551608947932	0.03985813390938168	0.00014391352268405407	-0.0004242878222211182	1.284005662398292	-0.285942167698214	-1.949822501372159	-0.28594216769821457	3.2934810681189037	1.200932068339558	-1.9498225013721595	1.2009320683395566	8.551397491725966	-0.0007862697871463218	0.1182256588042028	-0.029231642446233257	0.06329974751074638	0.005175668211417951	0.025312895968372762	0.00517566821141795	0.008901669372334256	0.002877854807242256	0.025312895968372766	0.0028778548072422574	0.028297959986862325
7.804999999999856	3.2339975914292944	3.772630662338439	19.130842859216827	4.317664314110753	-0.8588956611629899	-0.45881021777191017	0.647144714901422	-0.00662628007939123	-0.11902565256115724	0.6659505550355292	-0.008024510850675428	-0.25585791297132815	-0.16202916229714337	0.986661990017453	0.015641867538285045	3.2648652135906118	-0.3262110678067557	-1.9654057071274171	-0.1746955211931571	0.015755178167559687	0.03765987804706002	0.0004592155408085487	-0.0026343681581621507	1.2858250102220423	-0.286081424613978	-1.9536767703720912	-0.28608142461397823	3.2924755714887843	1.2007256823618535	-1.9536767703720916	1.2007256823618535	8.552694543798848	0.0017343949451556293	0.11047145796701711	-0.028204727639175267	0.06319385098982104	0.005155945916323205	0.025266592283000953	0.005155945916323205	0.008899221406326034	0.002867443051371541	0.025266592283000957	0.0028674430513715406	0.028286806025705873
7.809999999999856	3.2189384982288534	3.7611203413108205	19.341791485669656	4.281894020904061	-0.7792863649535327	-0.4503120885880846	0.6471491590699852	-0.006611283468172207	-0.1190303872664075	0.6659218474505688	-0.007995602260796111	-0.2558856779942696	-0.16196392730179965	0.986671733648729	0.01570274726247141	3.2654242792367296	-0.32238619452530815	-1.9672064367223074	-0.16095865393952263	0.016071533191650077	0.03730158308338168	0.001140085267725447	-0.00326668023251514	1.2876922657160785	-0.2862234864300952	-1.9576665573088448	-0.2862234864300956	3.29151397102716	1.2004733338543236	-1.9576665573088456	1.2004733338543232	8.554154958364597	0.00416217923982553	0.11442379258650544	-0.026033325218769887	0.06308793224703202	0.00513612565701818	0.02521948727319912	0.0051361256570181795	0.008896749799074618	0.002856787311259585	0.025219487273199115	0.002856787311259584	0.028274914054132752
7.814999999999856	3.1770742176903584	3.809435340257252	19.85767841811314	4.252725847397723	-0.5707428146029195	-0.46298073528436223	0.6471601465714006	-0.006591642918248163	-0.11903629298303153	0.6659027090605952	-0.007976329867543243	-0.2559041880095637	-0.161903105744532	0.9866806888887252	0.015767134309877705	3.26595183328925	-0.3195968102429123	-1.9685866015486246	-0.14918765283461705	0.016362191171407962	0.03669935055726866	0.0012981056301749044	-0.0033935380337248872	1.2894710170398804	-0.28632436810955425	-1.9614424828348398	-0.28632436810955453	3.2905165969583114	1.2002536550336964	-1.96144248283484	1.2002536550336964	8.555420104697372	0.0066753485549144245	0.10842354994701382	-0.02443220626181621	0.06298529005827763	0.005116432510015496	0.025174530499530945	0.005116432510015495	0.008894256903963586	0.0028462142346571836	0.025174530499530938	0.0028462142346571827	0.02826411620418601
7.8199999999998555	3.1956428317380308	3.9962029252458238	19.73666460708321	4.551130098481958	-0.6054959615565196	-0.507715630375261	0.6471786163960731	-0.006573614411234546	-0.11903479776024373	0.665889950133946	-0.007963481605374655	-0.25591652801975995	-0.16184639350954008	0.9866890020922074	0.015829025814598198	3.266458056122748	-0.3169528616024395	-1.9697614463187536	-0.13893897727739624	0.01663415427709087	0.03680143974936201	0.0010664776576333227	-0.001832558609086646	1.2911948098391137	-0.28641138901496127	-1.9650537169902753	-0.2864113890149613	3.289455417639236	1.2000633269293308	-1.9650537169902742	1.2000633269293306	8.556441490695416	0.006490549938180968	0.1040430010211992	-0.022779943868262133	0.06288342269955965	0.005096964444871647	0.025130759764794428	0.005096964444871644	0.008891803296982578	0.0028358688824757926	0.025130759764794428	0.002835868882475794	0.02825426560432714
7.824999999999855	3.194853078357058	4.000007011534248	19.517088518710988	4.593515650598921	-0.650709420443125	-0.528012514120012	0.6471980025969241	-0.006555027176352801	-0.11902577795603772	0.6658814441828467	-0.00795491609726224	-0.255924754693224	-0.16179212257811287	0.9866968975204772	0.01589155420762758	3.2669639726943185	-0.3144210686839407	-1.9707980960200697	-0.12964806188705302	0.016900980395189096	0.0369775354037617	0.001093369025228151	-0.00033610236938454597	1.2929197361588225	-0.28649508809708274	-1.9686457835620352	-0.28649508809708296	3.2883648325222103	1.1998677378673717	-1.968645783562036	1.199867737867371	8.557358170722233	0.0068140905546982345	0.10401845399975539	-0.02180889922372193	0.06278095871642034	0.005077458199209941	0.02508691374019668	0.005077458199209943	0.008889353358570105	0.0028255061224080995	0.02508691374019668	0.002825506122408099	0.028244568715712515
7.829999999999855	3.1362674433116404	3.6779845572476897	19.36887272833463	4.103393347625417	-0.5852790804947304	-0.45234084784012796	0.6472109482541956	-0.00654309678863905	-0.11901360196189337	0.6658878222019743	-0.007805675645164184	-0.2560491362169449	-0.16173892083085734	0.9867046863038301	0.015949404833091124	3.2674984638168807	-0.27631705487608477	-1.9797616698679334	-0.06233168397488724	0.01753239153257365	0.03738879896509559	0.0006456880726698217	0.00018150323842407818	1.294730891167237	-0.286624129317984	-1.972429202830478	-0.28662412931798414	3.2872994812396255	1.1996403456163864	-1.9724292028304775	1.1996403456163869	8.558444696955856	0.004077056753148746	0.10935144817229937	-0.02117324752322299	0.06267609363152916	0.005058160072263222	0.025041349858086516	0.005058160072263223	0.00888698901705178	0.002815238119984668	0.025041349858086516	0.002815238119984667	0.02823398942648289
7.834999999999855	3.067365318074068	4.03978111529045	19.029298871956925	4.722265337710756	-0.5401142958192636	-0.5526314591743439	0.6472329417683816	-0.006533895618001092	-0.11900888227192866	0.6658920742147262	-0.007706182010432133	-0.25613205723275867	-0.1616861124596936	0.9867124777658947	0.016002726603932503	3.2679769859817287	-0.2517413854962024	-1.983929122770335	-0.01806783224386059	0.01802977811149606	0.035584098487478545	8.799331314364823e-05	-0.001085106057301927	1.2963772310826522	-0.2867156883001582	-1.9758351417992532	-0.28671568830015803	3.2862408374843777	1.1994864714680793	-1.9758351417992521	1.1994864714680773	8.559338005577134	0.004115248630751433	0.09801168841029437	-0.02108311882305104	0.06257873960219597	0.005039824411425049	0.024999930626057973	0.005039824411425049	0.008884719436565236	0.0028056020021421236	0.02499993062605797	0.0028056020021421245	0.0282250779215546
7.839999999999855	2.9924875817254155	3.8064574079973985	19.463451341052718	4.255559458213293	-0.28838496264459895	-0.5094436013974971	0.6472470725827013	-0.0065233240947941955	-0.11900561671922902	0.665894908889894	-0.007639852920610774	-0.25618733790996784	-0.16163641837750078	0.9867197482185164	0.01605636103485031	3.2684766324814998	-0.23510419104791042	-1.9860136998109055	0.011613133885595768	0.01845936923964553	0.03534554692804795	0.0005406929589829518	-0.0014697451512296125	1.2980838804348984	-0.28683650972341374	-1.9793949798370614	-0.2868365097234135	3.2852326230833286	1.1992925246520993	-1.979394979837063	1.1992925246521005	8.560423161523119	0.003636181981436631	0.10219365827092335	-0.01976446696123668	0.06248094532923423	0.005021773347666649	0.02495750302435019	0.005021773347666653	0.008882515281953919	0.0027960075602112373	0.024957503024350198	0.002796007560211238	0.02821534586641409
7.844999999999855	2.840804559675139	4.183238814912625	19.714864543722825	4.821623474453573	0.03138848226945616	-0.611358152918621	0.6472809100926918	-0.006511299205958191	-0.11900348221641624	0.6658967986733393	-0.0075956335273965475	-0.25622419169477395	-0.16159021085415262	0.9867264985375322	0.016106546494272976	3.2688945321539746	-0.22457360155592224	-1.9870053986714626	0.031985258073593814	0.01879353064717622	0.03407401069833418	0.0004166525455210744	-0.0013655918755015768	1.2995590396945056	-0.28689332961386566	-1.9823891083209504	-0.28689332961386577	3.284137882484904	1.1992028877745924	-1.9823891083209502	1.1992028877745926	8.561005995182319	0.005013142834776412	0.0858299172913987	-0.018535801938444566	0.06239051883789804	0.005004627902050798	0.024920328653440914	0.005004627902050797	0.008880389277546221	0.002787111891380591	0.024920328653440918	0.0027871118913805914	0.0282084140885269
